DtCreate,Berkeley_LHJ,Under_Investigation,Known_Homeless,No_Address__May_Be_Homeless_,Santa_Rita_Jail,Alameda,Albany,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,San_Leandro,Union_City,Eden_Area_MAC,Castro_Valley_MAC,Fairview_MAC,Remainder_of_County,F94501,F94502,F94536,F94538,F94539,F94541,F94542,F94544,F94545,F94546,F94550,F94551,F94552,F94555,F94560,F94566,F94568,F94577,F94578,F94579,F94580,F94587,F94588,F94601,F94602,F94603,F94605,F94606,F94607,F94608,F94609,F94610,F94611,F94612,F94618,F94619,F94621,F94702,F94703,F94704,F94705,F94706,F94707,F94708,F94709,F94710,ObjectId
2020/05/04 07:00:00+00,56,<10,,,36,37,<10,26,<10,113,362,40,61,541,10,53,105,77,149,94,<10,<10,30,<10,33,36,24,145,22,228,57,70,21,19,10,18,61,32,62,62,73,19,33,77,21,107,18,49,59,30,29,19,<10,21,29,14,<10,85,86,10,17,<10,<10,<10,<10,<10,<10,<10,1
2020/05/05 07:00:00+00,60,<10,,,36,37,<10,26,<10,114,378,40,63,558,10,53,105,77,152,94,<10,<10,30,<10,33,36,25,146,22,243,57,70,21,19,10,18,63,32,62,62,74,19,35,77,21,108,18,52,62,33,32,19,<10,22,29,14,<10,85,89,11,19,<10,<10,<10,<10,<10,<10,<10,2
2020/05/06 07:00:00+00,63,<10,,,36,37,<10,26,<10,117,391,41,63,580,10,55,107,79,158,96,<10,<10,30,<10,33,39,25,151,24,251,57,72,22,19,10,18,63,34,62,62,76,19,39,79,21,113,18,57,64,35,34,19,<10,22,30,16,<10,85,92,12,20,<10,<10,<10,<10,<10,<10,<10,3
2020/05/07 07:00:00+00,65,<10,,,36,37,<10,26,<10,117,403,42,63,600,10,55,108,81,161,97,<10,<10,30,<10,33,39,25,155,24,259,58,73,23,19,10,18,63,34,62,63,76,19,41,81,21,122,19,58,66,37,34,22,<10,22,30,17,<10,86,93,13,20,<10,<10,<10,<10,<10,<10,<10,4
2020/05/08 07:00:00+00,66,<10,,,36,38,<10,26,<10,120,422,42,64,632,10,55,109,82,162,101,<10,<10,31,<10,34,41,25,161,24,270,60,76,23,19,10,18,64,34,62,64,77,19,42,82,21,130,20,61,68,41,36,22,<10,22,31,17,<10,87,103,13,21,<10,<10,<10,<10,<10,<10,<10,5
2020/05/09 07:00:00+00,66,<10,,,39,38,<10,26,<10,121,431,42,67,644,10,55,109,83,165,102,<10,<10,31,<10,34,42,25,165,24,278,60,77,23,19,10,18,67,34,65,64,77,19,42,83,21,138,20,64,69,41,36,22,<10,22,31,17,<10,87,103,13,21,<10,<10,<10,<10,<10,<10,<10,6
2020/05/10 07:00:00+00,66,<10,,,47,38,<10,26,<10,122,432,43,69,663,10,55,109,83,165,102,<10,<10,31,<10,34,43,25,165,24,278,61,77,24,19,10,18,69,34,73,64,77,19,42,83,21,148,20,64,70,43,36,23,<10,22,31,17,<10,88,107,13,21,<10,<10,<10,<10,<10,<10,<10,7
2020/05/11 07:00:00+00,67,<10,,,48,38,<10,26,<10,124,437,43,69,683,10,55,110,84,165,102,<10,<10,31,<10,35,44,25,165,24,280,64,77,24,19,10,18,69,34,74,65,77,19,42,84,21,158,20,65,73,46,36,23,<10,22,31,17,<10,89,109,13,22,<10,<10,<10,<10,<10,<10,<10,8
2020/05/12 07:00:00+00,67,<10,,,49,38,<10,26,<10,125,449,43,69,696,10,55,112,87,169,104,<10,<10,31,<10,36,44,25,168,26,288,65,79,24,19,10,18,69,34,75,66,77,20,45,87,21,162,21,69,73,48,36,24,<10,22,31,17,<10,89,110,13,22,<10,<10,<10,<10,<10,<10,<10,9
2020/05/13 07:00:00+00,67,<10,,,52,40,<10,26,<10,127,454,45,70,726,10,56,115,93,172,106,<10,<10,32,<10,36,45,25,169,26,293,65,81,26,19,10,19,70,35,78,68,78,21,46,93,21,175,22,76,77,51,36,24,<10,22,31,17,<10,90,111,13,22,<10,<10,<10,<10,<10,<10,<10,10
2020/05/14 07:00:00+00,67,<10,,,52,41,<10,26,<10,133,469,45,70,750,10,56,117,94,173,108,10,<10,33,<10,37,50,25,172,26,304,68,82,26,19,10,19,70,35,78,69,80,21,46,94,21,187,22,82,79,51,36,24,<10,22,31,17,<10,91,114,13,22,<10,<10,<10,<10,<10,<10,<10,11
2020/05/15 07:00:00+00,68,<10,,,52,41,<10,26,<10,135,486,45,71,781,10,56,120,97,174,108,13,<10,33,<10,37,51,25,177,28,315,71,82,26,19,10,20,71,35,78,71,80,22,46,97,21,192,24,84,80,61,37,25,<10,22,32,18,<10,94,117,14,22,<10,<10,<10,<10,<10,<10,<10,12
2020/05/16 07:00:00+00,69,<10,,,52,43,<10,26,<10,136,490,45,73,815,10,58,120,98,177,109,13,<10,35,<10,37,51,25,180,28,319,71,83,26,19,10,21,73,37,78,71,80,22,46,98,21,204,28,88,85,63,38,25,<10,22,32,18,<10,98,119,15,22,<10,<10,<10,<10,<10,<10,<10,13
2020/05/17 07:00:00+00,70,<10,,,52,43,<10,26,<10,138,491,45,73,833,10,58,124,100,180,109,13,<10,35,<10,37,53,25,182,28,320,71,83,26,19,11,21,73,37,78,75,80,22,47,100,21,211,30,91,86,63,39,26,<10,22,32,18,<10,100,120,15,22,10,<10,<10,<10,<10,<10,<10,14
2020/05/18 07:00:00+00,70,<10,,,53,43,<10,26,<10,140,508,45,75,859,11,58,129,103,181,110,13,<10,35,<10,37,55,25,185,30,330,73,84,26,19,12,21,75,37,79,76,81,25,48,103,21,219,33,94,86,67,40,26,<10,24,33,19,<10,101,122,15,22,10,<10,<10,<10,<10,<10,<10,15
2020/05/19 07:00:00+00,71,<10,,,53,43,<10,26,<10,144,515,45,75,888,11,58,131,105,183,111,13,<10,35,<10,38,56,25,187,30,335,75,84,26,19,12,23,75,37,79,78,82,25,48,105,21,226,36,96,91,72,40,26,<10,24,33,19,<10,104,125,15,23,10,<10,<10,<10,<10,<10,<10,16
2020/05/20 07:00:00+00,72,<10,,,53,43,<10,26,<10,145,521,45,76,933,11,58,133,106,189,111,13,<10,35,<10,38,57,25,192,30,339,76,84,26,19,13,23,76,37,79,80,82,25,50,106,21,241,38,100,98,75,42,27,<10,24,33,19,<10,107,133,16,23,10,<10,<10,<10,<10,<10,<10,17
2020/05/21 07:00:00+00,80,<10,,,53,44,<10,26,<10,148,532,46,83,970,12,59,135,107,192,111,13,<10,36,<10,38,60,25,195,30,346,78,84,26,20,13,23,83,38,79,81,82,26,52,107,21,255,39,105,103,80,42,27,<10,24,34,19,<10,109,137,17,30,10,<10,<10,<10,<10,<10,<10,18
2020/05/22 07:00:00+00,86,<10,,,53,45,<10,26,<10,149,546,48,83,1008,13,59,139,109,196,111,13,<10,37,<10,38,61,25,200,30,356,80,84,26,22,13,23,83,38,79,83,84,26,53,109,21,275,39,110,108,81,42,27,<10,24,35,19,<10,110,143,18,33,11,<10,<10,<10,<10,<10,<10,19
2020/05/23 07:00:00+00,86,10,,,53,45,<10,26,<10,152,554,49,85,1049,13,59,140,111,199,113,13,<10,37,<10,38,63,26,205,31,361,80,86,26,23,13,23,85,38,79,83,84,27,53,111,21,299,41,112,111,82,43,29,10,24,35,19,<10,114,144,18,33,11,<10,<10,<10,<10,<10,<10,20
2020/05/24 07:00:00+00,86,11,,,53,45,<10,26,<10,155,565,51,91,1086,13,60,144,113,200,114,13,<10,37,<10,40,63,27,207,32,365,85,87,26,25,13,23,91,38,79,86,85,27,53,113,22,315,42,118,112,85,44,29,10,26,36,19,<10,115,149,18,33,11,<10,<10,<10,<10,<10,<10,21
2020/05/25 07:00:00+00,86,11,,,53,47,<10,26,<10,160,570,51,92,1122,13,60,146,114,204,115,13,<10,39,<10,41,66,27,211,32,369,85,88,27,25,13,24,92,38,79,87,86,27,54,114,22,331,42,126,116,88,45,29,10,26,36,19,<10,117,151,18,33,11,<10,<10,<10,<10,<10,<10,22
2020/05/26 07:00:00+00,89,11,,,54,47,<10,26,10,162,574,51,95,1159,13,60,149,115,204,115,13,<10,39,<10,42,66,27,213,32,371,85,88,27,25,13,25,95,38,80,87,87,29,54,115,22,341,43,131,121,93,45,31,10,26,38,19,<10,118,158,20,34,11,<10,<10,<10,<10,<10,<10,23
2020/05/27 07:00:00+00,89,12,,,55,49,<10,26,10,163,586,51,100,1174,13,60,151,123,208,115,13,<10,41,<10,42,66,27,217,32,380,86,88,27,25,13,26,100,38,81,88,88,29,56,123,22,348,43,135,121,93,45,32,10,26,38,19,<10,118,161,20,34,11,<10,<10,<10,<10,<10,<10,24
2020/05/28 07:00:00+00,92,12,,,56,51,<10,26,10,169,602,52,101,1232,13,61,153,125,213,115,13,<10,42,<10,44,70,27,224,32,388,90,88,27,26,13,26,101,38,82,88,91,29,57,125,23,374,44,141,129,96,45,32,10,27,42,19,<10,118,170,21,36,11,<10,<10,<10,<10,<10,<10,25
2020/05/29 07:00:00+00,94,13,,,56,52,<10,26,10,176,622,54,106,1283,13,62,156,127,218,117,14,<10,42,10,47,72,27,231,32,401,94,88,29,26,13,28,106,38,82,89,95,29,59,127,24,391,45,147,133,97,47,32,10,27,42,19,<10,127,181,22,36,11,<10,<10,<10,<10,<10,<10,26
2020/05/30 07:00:00+00,94,13,,,56,54,<10,27,10,179,642,55,106,1346,13,63,159,130,222,118,14,<10,44,10,48,74,27,237,33,412,98,89,29,27,13,28,106,38,83,90,96,31,60,130,25,416,48,157,134,100,47,33,10,29,42,21,<10,130,194,22,36,11,<10,<10,<10,<10,<10,<10,27
2020/05/31 07:00:00+00,94,13,,,56,54,<10,27,10,180,648,55,106,1368,13,63,159,130,225,118,14,<10,44,10,49,74,27,240,33,416,99,89,29,27,14,28,106,38,83,90,96,31,61,130,25,423,50,160,134,103,48,33,10,29,42,21,<10,131,199,22,36,11,<10,<10,<10,<10,<10,<10,28
2020/06/01 07:00:00+00,96,13,,,56,54,<10,27,10,183,656,55,106,1407,13,63,160,130,225,120,14,<10,44,10,51,75,27,242,33,421,100,90,30,27,14,28,106,38,83,90,97,32,61,130,25,433,51,168,136,105,49,33,12,32,45,21,<10,132,205,22,37,11,<10,<10,<10,<10,<10,10,29
2020/06/02 07:00:00+00,97,13,,,56,54,<10,28,10,183,676,55,108,1457,13,64,162,131,228,121,14,<10,44,10,51,75,27,247,33,434,104,90,30,27,14,28,108,38,84,90,100,32,62,131,26,452,53,183,136,107,50,35,12,32,48,22,<10,133,209,23,37,11,<10,<10,<10,<10,<10,10,30
2020/06/03 07:00:00+00,98,13,,,56,54,<10,28,10,187,690,55,113,1493,13,64,162,132,234,124,14,<10,44,10,52,78,27,250,33,443,107,92,30,27,15,28,113,38,84,90,101,32,66,132,26,463,53,187,138,111,53,36,12,32,49,22,<10,135,217,23,37,11,<10,<10,<10,<10,<10,11,31
2020/06/04 07:00:00+00,98,13,,,56,55,<10,28,10,190,701,56,115,1528,13,65,163,132,236,124,21,<10,45,10,53,80,27,259,33,452,108,92,31,27,15,28,115,38,84,91,102,32,66,132,27,468,54,196,140,114,55,37,12,32,50,23,<10,137,225,23,37,11,<10,<10,<10,<10,<10,11,32
2020/06/05 07:00:00+00,103,13,,,57,56,<10,29,10,191,711,56,116,1562,13,65,164,137,241,124,21,<10,46,10,53,80,28,263,33,461,109,92,31,27,15,28,116,38,86,92,103,32,66,137,27,485,56,199,141,121,56,37,12,32,50,24,<10,137,227,25,38,12,<10,<10,<10,<10,<10,11,33
2020/06/06 07:00:00+00,103,13,,,57,56,<10,29,10,199,717,57,118,1588,13,66,171,139,245,124,24,<10,46,10,54,87,28,268,34,464,109,92,32,27,15,28,118,38,86,95,105,35,69,139,28,492,57,203,142,125,56,37,12,33,50,24,<10,139,233,25,38,12,<10,<10,<10,<10,<10,11,34
2020/06/07 07:00:00+00,105,15,,,57,56,<10,29,10,202,725,57,120,1620,13,66,176,142,247,125,31,<10,46,10,55,89,28,276,34,468,112,92,32,27,15,28,120,38,86,97,110,36,69,142,28,501,58,209,147,128,57,37,12,33,50,24,<10,140,239,25,38,12,<10,11,<10,<10,<10,11,35
2020/06/08 07:00:00+00,109,15,,,57,57,<10,30,11,205,725,57,121,1633,13,66,176,143,249,128,31,<10,47,10,57,89,29,276,34,468,112,93,32,27,17,28,121,38,87,97,111,36,70,143,28,504,60,209,150,128,57,38,12,33,50,24,<10,140,244,25,40,13,<10,11,<10,<10,<10,11,36
2020/06/09 07:00:00+00,112,15,,,57,59,<10,30,11,207,729,57,122,1669,13,66,182,145,257,130,34,<10,49,10,57,90,29,286,34,469,113,93,32,27,18,29,122,38,87,101,116,36,71,145,28,519,60,214,152,129,58,39,13,33,50,24,<10,141,253,26,40,13,<10,12,<10,<10,<10,13,37
2020/06/10 07:00:00+00,112,15,,,57,59,<10,30,12,212,740,57,123,1703,13,66,186,148,263,131,34,<10,49,10,58,90,33,289,34,478,113,94,32,27,18,29,123,38,87,102,122,37,72,148,28,530,60,220,154,132,62,40,13,33,51,24,<10,141,260,26,40,13,<10,12,<10,<10,<10,13,38
2020/06/11 07:00:00+00,113,15,,,58,59,<10,30,12,219,756,57,123,1754,13,67,190,150,267,135,41,<10,49,10,65,90,33,303,34,488,114,98,32,27,18,29,123,38,88,104,124,38,73,150,29,550,62,229,158,134,64,43,13,33,51,24,<10,143,267,27,40,13,<10,12,<10,<10,<10,13,39
2020/06/12 07:00:00+00,114,15,,,58,60,<10,31,13,221,761,59,123,1779,13,68,196,151,270,137,41,<10,50,10,65,91,34,305,34,493,114,100,33,28,18,29,123,39,89,106,129,38,73,151,29,556,62,236,160,135,64,45,14,33,52,24,<10,143,273,28,40,13,<10,12,<10,<10,<10,13,40
2020/06/13 07:00:00+00,114,17,,,58,60,<10,33,14,224,767,61,124,1814,13,68,198,154,281,140,42,<10,50,10,66,93,34,310,34,498,115,103,35,28,18,29,124,39,91,106,134,38,77,154,29,571,63,246,162,136,64,46,15,33,52,24,<10,143,278,28,40,13,<10,12,<10,<10,<10,13,41
2020/06/14 07:00:00+00,114,23,,,58,63,<10,35,14,226,781,63,126,1848,13,68,204,156,287,147,43,<10,53,10,67,94,34,313,34,510,116,111,36,29,18,29,126,39,93,112,135,38,80,156,29,578,63,253,162,142,65,47,15,34,52,24,<10,147,285,28,40,13,<10,12,<10,<10,<10,13,42
2020/06/15 07:00:00+00,114,29,,,58,66,<10,35,14,227,805,68,127,1867,13,68,206,156,291,147,45,<10,56,10,68,94,34,316,35,531,117,111,38,32,18,29,127,39,93,113,135,39,84,156,29,583,63,260,162,144,67,47,15,34,52,25,<10,147,286,28,40,13,<10,12,<10,<10,<10,13,43
2020/06/16 07:00:00+00,115,30,,,59,67,<10,35,14,228,831,72,129,1893,13,69,209,159,301,147,49,<10,57,10,68,95,34,326,35,555,118,111,40,34,18,29,129,39,94,115,138,39,87,159,30,597,64,266,163,145,68,47,15,34,52,25,<10,147,288,28,41,13,<10,12,<10,<10,<10,13,44
2020/06/17 07:00:00+00,116,36,,,59,68,<10,36,14,232,842,90,130,1925,13,70,210,159,311,150,49,<10,58,10,70,96,34,334,35,564,119,114,51,41,18,30,130,40,95,116,140,39,88,159,30,602,64,273,164,149,68,47,15,34,52,25,<10,147,303,28,41,13,<10,12,<10,<10,<10,14,45
2020/06/18 07:00:00+00,118,37,,,59,68,<10,38,14,232,855,94,130,1941,13,72,211,163,313,150,49,<10,58,10,70,96,34,337,35,570,123,114,53,43,18,30,130,42,97,117,141,39,89,163,30,605,65,277,167,150,68,48,15,34,53,25,<10,147,305,28,41,14,<10,12,<10,<10,<10,14,46
2020/06/19 07:00:00+00,120,46,,,60,71,10,41,14,239,872,111,143,1996,13,76,221,166,323,157,50,<10,61,10,74,97,36,345,36,583,125,119,62,51,18,30,143,45,101,121,152,39,90,166,31,626,68,286,172,155,68,49,15,37,53,25,<10,150,310,28,41,16,<10,13,<10,<10,<10,14,47
2020/06/20 07:00:00+00,123,49,,,60,71,10,42,15,242,880,114,146,2060,13,79,229,167,326,161,61,<10,61,10,75,97,37,358,36,588,127,122,62,54,18,31,146,46,102,125,157,41,90,167,33,644,68,295,178,160,69,59,16,37,54,27,<10,150,322,30,41,16,<10,13,<10,<10,<10,14,48
2020/06/21 07:00:00+00,124,57,,,60,73,10,44,18,251,896,126,147,2152,13,82,243,175,333,164,62,<10,63,10,77,104,37,364,37,599,130,124,69,59,18,31,147,48,104,135,163,42,91,175,34,675,68,314,191,164,73,63,17,39,55,27,<10,153,335,30,41,16,<10,13,<10,<10,<10,15,49
2020/06/22 07:00:00+00,131,70,,,60,74,11,44,18,256,910,130,150,2204,13,82,249,178,340,166,63,<10,64,10,78,107,37,375,37,606,131,126,73,60,18,32,150,48,104,139,167,42,92,178,34,693,69,325,192,168,76,64,17,39,56,27,<10,160,339,31,44,17,10,14,<10,<10,<10,15,50
2020/06/23 07:00:00+00,135,75,,,60,77,11,44,18,260,914,131,153,2245,13,84,255,179,347,169,63,<10,67,10,79,109,37,381,37,609,131,129,74,60,18,33,153,49,104,141,172,42,93,179,35,702,70,332,192,173,77,65,17,39,56,27,10,163,352,31,45,19,10,14,<10,<10,<10,15,51
2020/06/24 07:00:00+00,138,76,,,60,80,11,45,18,263,930,134,154,2260,13,87,262,182,350,173,63,<10,70,10,79,111,37,387,37,617,133,133,76,61,18,34,154,51,105,146,174,42,96,182,36,704,71,334,193,175,78,66,17,39,56,27,10,163,357,31,46,20,10,14,<10,<10,<10,15,52
2020/06/25 07:00:00+00,140,79,,,60,84,11,46,18,271,949,149,159,2293,13,99,270,186,355,176,63,<10,74,10,85,113,37,393,41,627,136,135,85,67,18,34,159,56,106,149,179,43,97,186,43,712,71,337,195,178,83,66,17,39,56,29,10,163,366,31,46,21,10,14,<10,<10,<10,16,53
2020/06/26 07:00:00+00,144,91,,,60,84,11,47,18,274,952,152,160,2319,13,100,273,189,359,177,63,<10,74,10,86,115,37,396,41,629,136,136,87,68,18,34,160,56,107,150,182,43,98,189,44,724,73,340,196,180,85,66,17,40,56,29,10,164,368,32,46,21,11,14,<10,<10,<10,16,54
2020/06/27 07:00:00+00,146,121,,,61,86,11,51,21,280,980,157,161,2364,13,104,282,191,367,183,63,<10,75,11,88,118,37,408,45,645,137,141,90,70,18,35,161,57,112,153,189,44,100,191,47,740,73,344,198,180,92,69,18,41,56,30,10,165,380,32,46,22,12,14,<10,<10,<10,16,55
2020/06/28 07:00:00+00,148,140,,,63,89,11,55,26,292,1004,171,163,2424,13,119,293,194,375,190,64,<10,78,11,99,118,38,418,47,656,143,146,99,75,19,35,163,60,118,158,194,47,103,194,59,762,75,354,202,182,96,77,18,43,57,31,10,165,389,32,46,23,12,14,<10,<10,<10,17,56
2020/06/29 07:00:00+00,153,149,,,63,94,13,56,27,304,1018,178,166,2468,14,124,298,196,380,193,65,<10,82,12,107,121,39,422,52,663,143,148,103,78,20,35,166,62,119,161,198,47,105,196,62,772,76,364,205,186,97,79,21,44,60,32,11,165,395,32,46,25,14,16,<10,<10,<10,18,57
2020/06/30 07:00:00+00,160,154,,,63,94,14,56,28,316,1041,188,167,2524,14,124,309,198,391,195,65,<10,82,12,110,125,43,437,52,674,146,150,110,81,20,36,167,62,119,167,205,47,108,198,62,787,79,372,210,188,102,82,23,45,60,32,11,168,405,32,51,25,15,17,<10,<10,<10,18,58
2020/07/01 07:00:00+00,162,185,,,63,97,14,58,29,329,1068,196,167,2585,14,126,322,200,397,199,66,<10,85,12,114,130,47,447,56,682,156,154,112,87,20,36,167,63,120,177,208,48,109,200,63,797,81,385,217,192,106,86,27,45,60,34,11,169,416,32,51,26,16,17,<10,<10,<10,18,59
2020/07/02 07:00:00+00,178,245,,,63,100,14,64,29,349,1090,204,168,2635,14,128,328,211,406,207,66,<10,88,12,127,136,48,454,57,694,160,163,116,91,21,36,168,64,126,181,212,50,110,211,64,806,83,393,221,198,108,88,34,46,60,34,11,170,424,33,52,37,19,17,<10,<10,<10,18,60
2020/07/03 07:00:00+00,185,273,,,63,103,16,67,33,362,1111,220,174,2713,14,134,343,220,419,213,68,10,90,13,131,142,50,464,58,707,163,170,118,105,21,37,174,69,129,194,218,50,114,220,66,830,85,399,227,205,110,95,38,47,62,35,13,175,437,34,55,39,20,19,<10,<10,<10,18,61
2020/07/04 07:00:00+00,195,315,,,63,109,18,70,33,372,1129,240,177,2777,15,140,354,228,436,218,69,10,95,14,132,148,52,483,58,713,169,175,125,118,21,38,177,72,132,204,222,50,116,228,69,843,94,412,230,211,112,96,42,50,62,37,13,176,445,35,57,40,26,21,<10,<10,<10,18,62
2020/07/05 07:00:00+00,196,325,,,63,113,18,71,34,379,1142,249,180,2817,15,146,362,231,440,221,70,10,99,14,133,150,52,485,59,720,173,179,131,121,21,42,180,72,133,210,226,50,117,231,75,851,96,421,235,213,113,97,43,50,63,38,13,178,453,35,57,40,26,21,<10,<10,<10,19,63
2020/07/06 07:00:00+00,207,326,,,63,115,20,75,34,386,1152,252,181,2857,16,147,366,234,443,221,70,10,101,14,134,154,53,489,59,723,176,179,132,123,21,43,181,73,137,214,228,50,117,234,76,858,96,429,240,214,115,98,48,51,63,38,16,178,461,35,57,51,26,23,<10,<10,<10,19,64
2020/07/07 07:00:00+00,214,329,,,63,118,21,75,34,388,1170,254,181,2899,16,147,367,236,454,222,71,10,104,14,134,155,53,503,61,730,177,181,133,124,21,44,181,73,137,214,229,51,121,236,76,865,97,441,242,215,119,98,49,55,63,38,16,180,468,35,58,53,27,25,<10,<10,<10,20,65
2020/07/08 07:00:00+00,214,329,,,63,118,21,76,34,390,1171,256,182,2900,16,147,368,236,455,222,71,10,104,14,134,157,53,504,61,731,177,181,134,125,21,44,182,73,138,214,230,51,121,236,76,865,97,441,242,215,119,98,49,55,63,39,16,180,468,35,58,53,27,25,<10,<10,<10,20,66
2020/02/28 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,67
2020/02/29 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,68
2020/03/01 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,69
2020/03/02 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,70
2020/03/03 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,71
2020/03/04 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,72
2020/03/05 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,73
2020/03/06 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,74
2020/03/07 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,75
2020/03/08 08:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,76
2020/03/09 07:00:00+00,<10,0,,,0,0,0,0,0,0,0,0,0,<10,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,77
2020/03/10 07:00:00+00,<10,0,,,0,<10,0,0,0,0,<10,<10,0,<10,0,<10,0,0,0,<10,0,0,0,<10,0,0,0,0,0,<10,0,<10,<10,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,78
2020/03/11 07:00:00+00,<10,0,,,0,<10,0,0,0,0,<10,<10,0,<10,0,<10,0,0,0,<10,0,0,0,<10,0,0,0,0,0,<10,0,<10,<10,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,79
2020/03/12 07:00:00+00,<10,0,,,0,<10,0,0,0,0,<10,<10,0,<10,0,<10,0,0,0,<10,0,0,<10,<10,0,0,0,0,0,<10,0,<10,<10,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,80
2020/03/13 07:00:00+00,<10,0,,,0,<10,0,0,0,0,<10,<10,0,<10,0,<10,0,0,0,<10,0,0,<10,<10,0,0,0,0,0,<10,0,<10,<10,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,0,<10,0,0,0,0,0,0,0,81
2020/03/14 07:00:00+00,<10,0,,,0,<10,0,<10,0,<10,<10,<10,0,<10,<10,<10,<10,0,0,<10,0,0,<10,<10,0,0,0,0,0,<10,0,<10,<10,0,0,<10,0,<10,<10,0,<10,0,0,0,<10,0,0,0,<10,<10,0,<10,0,0,<10,0,0,0,0,0,<10,0,0,0,0,0,0,0,82
2020/03/15 07:00:00+00,<10,0,,,0,<10,0,<10,0,<10,<10,<10,0,<10,<10,<10,<10,0,0,<10,0,0,<10,<10,0,0,0,0,0,<10,0,<10,<10,0,0,<10,0,<10,<10,0,<10,0,0,0,<10,0,0,0,<10,<10,0,<10,0,0,<10,0,0,0,0,0,<10,0,0,0,0,0,0,0,83
