Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,10633,1685886,630.7,1
Berkeley LHJ,374,124553.1859,300.3,2
Alameda County LHJ,10259,1561332.814,657.1,3
Under Investigation,392,NA,NA,4
Homeless,114,NA,NA,5
Address Unknown,60,NA,NA,6
Alameda,166,80104.31702,207.2,7
Albany,28,19586.51338,143,8
Dublin,118,65219.06197,180.9,9
Emeryville,50,12004.00847,416.5,10
Fremont,584,234841.1497,248.7,11
Hayward,1536,161016.5678,953.9,12
Livermore,443,91943.68773,481.8,13
Newark,247,49196.55038,502.1,14
Oakland,4218,437194.9877,964.8,15
Piedmont,23,11534.37675,199.4,16
Pleasanton,220,81292.00067,270.6,17
San Leandro,551,90717.6273,607.4,18
Union City,324,75660.64284,428.2,19
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",628,69137.06614,908.3,20
Castro Valley MAC,303,65269.06603,464.2,21
Fairview MAC,87,10725.38585,811.2,22
Sunol,NA,996.8187168,NA,23
Remainder of County,17,4892.985567,347.4361362,24
